Policy Number,Age,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Fuel Type,Losses
116416,16,0,2,F,Single,13,P,229
102037,18,1,2,F,Single,13,P,253
134796,17,0,2,F,Married,13,P,468
109548,17,0,2,F,Married,5,D,587
128550,21,3,2,F,Single,11,P,312
106555,63,43,2,M,Married,11,P,58
191056,18,1,2,M,Married,15,P,381
152338,34,13,2,F,Married,14,P,296
148363,40,19,2,M,Married,7,P,394
178003,20,1,2,M,Single,0,D,1370
176586,33,12,2,F,Married,11,P,237
181139,30,12,2,F,Single,13,P,377
138635,63,44,2,F,Single,4,P,359
153328,22,5,2,M,Single,10,D,776
174776,60,42,2,F,Single,7,P,403
163437,65,44,2,M,Married,6,P,36
124105,62,42,2,M,Single,15,P,180
198747,18,1,2,F,Married,0,D,526
174661,18,0,2,F,Married,13,P,111
104876,64,45,2,F,Married,15,P,27
191519,61,44,2,M,Single,12,P,118
110844,46,28,2,M,Married,9,P,377
107630,34,17,2,M,Single,15,P,395
157732,59,38,2,M,Single,8,P,418
160962,68,49,2,F,Single,8,P,218
126035,67,46,2,M,Single,14,P,343
178902,37,18,2,M,Married,9,P,384
154636,21,2,2,F,Single,10,D,708
196657,23,5,2,M,Married,9,P,437
199904,62,43,2,M,Single,6,P,114
196000,19,0,2,M,Married,5,D,867
116096,19,0,2,F,Married,13,P,237
138990,63,45,2,M,Married,5,P,334
197165,52,34,2,F,Married,9,P,332
133096,29,10,2,F,Married,2,D,660
196524,25,6,2,M,Single,12,D,510
161702,59,40,2,M,Married,6,P,356
122908,34,14,2,M,Single,2,D,762
183024,33,13,2,M,Single,13,P,391
191999,65,48,2,M,Married,8,P,308
160081,62,42,2,F,Single,6,P,267
193935,62,41,2,F,Single,6,P,396
104816,70,51,2,M,Single,7,P,116
130881,34,15,2,F,Single,2,D,586
142244,19,0,2,M,Single,11,D,660
123228,63,42,2,F,Married,10,P,266
195140,27,10,2,F,Married,5,D,546
177458,65,48,2,F,Married,13,P,124
178971,67,47,2,F,Single,8,P,41
111212,19,2,2,M,Married,12,D,535
137624,39,20,2,F,Single,1,D,740
172844,43,23,2,F,Single,12,P,340
145849,68,50,2,M,Single,4,D,510
181070,62,41,2,F,Single,0,P,286
157733,69,50,2,F,Married,6,P,244
153587,66,45,2,M,Single,12,P,201
117158,20,2,2,F,Single,13,P,179
114919,36,16,2,M,Married,7,P,426
174887,40,23,2,F,Single,2,D,667
153353,67,46,2,M,Married,10,P,220
188700,36,17,2,M,Single,3,D,698
180435,67,47,2,F,Married,6,P,76
134752,67,48,2,F,Married,15,P,57
195144,25,8,2,M,Single,14,D,638
193950,24,6,2,M,Married,14,P,244
192126,44,27,2,F,Married,3,D,637
193786,48,29,2,M,Single,9,P,421
101726,52,34,2,F,Single,2,D,504
162398,65,46,2,F,Single,10,P,190
153514,49,29,2,M,Married,6,P,351
196325,57,40,2,M,Married,11,P,297
129393,32,11,2,F,Married,10,P,361
107345,42,25,2,F,Married,1,D,638
127866,19,1,2,F,Married,12,P,258
158610,25,6,2,F,Married,14,P,257
160265,53,34,2,F,Single,9,P,463
118920,27,9,2,M,Single,11,D,507
170345,63,43,2,M,Married,7,P,285
196923,68,47,2,F,Single,1,P,56
147851,51,30,2,F,Single,6,P,393
186358,63,46,2,M,Married,6,P,110
165045,55,36,2,F,Single,4,P,439
133148,18,1,2,M,Married,7,D,502
152556,37,19,2,M,Single,10,D,538
153627,61,41,2,F,Single,12,P,266
165514,51,31,2,F,Married,3,P,366
184159,16,0,2,F,Married,12,P,170
131253,60,43,2,M,Single,14,P,18
123640,22,5,2,M,Single,15,P,445
158931,16,0,2,F,Married,15,P,422
133965,31,12,2,F,Married,8,P,295
115444,33,13,2,F,Single,9,P,399
134220,33,14,2,M,Single,10,P,444
159312,19,2,2,F,Married,11,P,265
189654,46,27,2,M,Married,0,D,613
124277,62,42,2,M,Married,12,P,60
171002,65,46,2,M,Married,10,P,214
110665,63,42,2,F,Single,2,P,124
120303,55,35,2,F,Single,5,D,952
121544,48,28,2,M,Single,2,D,563
193478,61,41,2,F,Single,9,P,274
122107,45,27,2,M,Single,14,P,168
191190,22,3,2,M,Married,1,D,1193
145819,61,44,2,M,Married,2,P,343
100110,25,6,2,F,Single,11,P,293
127304,70,53,2,F,Single,11,P,217
117449,18,0,2,F,Married,7,P,489
143554,22,4,2,M,Single,6,D,1030
163649,62,43,2,F,Married,15,P,30
167902,52,32,2,M,Single,14,P,224
133185,45,25,2,F,Single,2,D,862
112411,21,2,2,M,Single,15,D,789
190354,27,8,2,F,Single,7,P,410
107944,63,43,2,M,Married,11,P,134
175313,45,28,2,F,Married,7,P,322
105468,64,44,2,M,Married,0,P,69
142841,49,32,2,F,Married,8,P,328
153157,64,46,2,M,Single,8,P,99
177825,24,5,2,F,Single,13,P,295
143584,34,17,2,F,Married,10,P,372
163336,18,0,2,M,Single,5,D,1026
145924,53,35,2,M,Single,4,D,832
156322,22,3,2,M,Married,4,D,556
110313,23,6,2,F,Married,4,P,442
113800,39,22,2,M,Single,7,P,415
156774,25,7,2,F,Married,15,P,437
105932,40,19,2,M,Married,11,P,341
126038,65,47,2,F,Single,7,P,239
116831,67,46,2,F,Married,13,P,107
142747,45,26,2,F,Married,7,P,308
185320,64,45,2,M,Single,4,D,585
134097,64,47,2,M,Single,7,P,289
106326,69,50,2,M,Married,11,P,70
185743,19,1,2,F,Single,11,P,247
149929,43,23,2,F,Single,15,P,307
154741,24,5,2,M,Married,12,D,696
177527,17,0,2,F,Married,11,P,333
179063,59,38,2,M,Married,15,P,225
136520,22,5,2,M,Married,6,D,615
185768,18,0,2,F,Married,15,P,251
195042,64,47,2,M,Single,5,P,469
144545,20,3,2,M,Married,11,D,648
104953,57,39,2,M,Single,13,P,437
102706,37,19,2,F,Married,3,D,662
133464,19,2,2,M,Married,10,D,611
163750,64,45,2,M,Single,0,D,553
194579,41,24,2,F,Married,12,P,308
148702,25,8,2,M,Single,6,D,615
142070,22,4,2,M,Married,12,P,420
188047,61,44,2,F,Married,14,P,36
138587,34,16,2,M,Married,2,D,687
125904,18,0,2,M,Married,6,D,779
104777,43,25,2,M,Married,7,P,363
177720,18,0,2,F,Married,12,P,272
172799,49,32,2,F,Married,10,P,319
107033,58,37,2,M,Single,4,D,603
142565,65,46,2,M,Single,12,P,103
194081,37,17,2,M,Single,10,P,441
186797,24,5,2,F,Single,4,D,821
196570,18,0,2,F,Married,15,P,190
189192,17,0,2,M,Married,12,P,202
142443,64,46,2,M,Single,4,P,423
138715,22,3,2,M,Married,1,D,1152
191335,63,45,2,M,Single,2,P,460
179258,53,33,2,M,Single,7,P,428
128864,68,51,2,F,Single,11,P,136
148374,16,0,2,F,Married,4,P,495
186105,51,30,2,M,Single,13,P,386
156649,47,26,2,F,Married,5,P,379
134149,65,47,2,F,Married,3,P,320
124766,54,33,2,M,Single,9,P,453
174454,61,40,2,F,Married,4,P,93
120595,65,48,2,M,Married,12,P,285
157795,31,11,2,F,Single,13,P,287
110631,18,0,2,M,Single,10,D,1190
168025,58,37,2,F,Married,11,P,136
134145,27,7,2,M,Single,6,P,440
157356,20,1,2,F,Single,12,P,480
188328,32,11,2,F,Single,9,P,368
153214,60,43,2,M,Single,8,P,59
115197,70,52,2,M,Single,15,P,228
122164,16,0,2,F,Married,14,P,338
161210,44,27,2,F,Single,6,P,405
189047,18,0,2,M,Single,7,D,1072
144032,68,50,2,F,Married,10,P,167
181437,25,8,2,M,Married,12,P,124
135976,33,14,2,F,Single,2,D,676
180972,20,3,2,F,Single,5,D,682
147579,66,46,2,M,Single,10,P,121
148646,67,50,2,M,Single,2,P,82
186361,17,0,2,F,Married,15,P,132
142384,64,44,2,F,Married,5,P,297
165566,69,51,2,F,Married,7,P,96
199233,31,13,2,M,Single,3,D,729
170071,63,42,2,F,Single,11,P,185
121485,17,0,2,F,Single,12,P,269
100325,54,34,2,M,Married,12,P,309
120404,68,51,2,M,Single,13,P,70
194899,25,6,2,F,Married,14,P,251
126066,53,35,2,M,Single,6,P,475
198583,46,29,2,M,Married,5,D,740
164792,62,41,2,F,Married,9,P,294
109959,24,7,2,M,Married,15,P,492
103229,65,45,2,F,Single,14,P,235
103588,16,0,2,F,Single,5,D,639
169509,30,11,2,M,Single,9,P,397
114053,61,41,2,F,Single,6,P,178
120886,67,48,2,M,Single,0,D,699
121512,67,49,2,F,Married,14,P,175
173574,61,43,2,M,Single,1,P,403
184810,20,1,2,M,Married,14,D,566
129122,34,16,2,F,Single,3,P,436
159085,66,49,2,F,Married,3,P,286
123452,30,12,2,M,Single,15,P,349
137351,25,8,2,F,Married,13,P,259
100792,29,10,2,M,Married,7,P,322
195442,68,51,2,F,Single,4,P,388
177243,18,0,2,M,Married,15,P,332
168401,23,6,2,F,Married,12,P,262
116031,61,43,2,F,Married,1,P,110
170611,17,0,2,F,Single,7,D,731
128569,69,51,2,F,Single,14,P,372
121935,17,0,2,M,Married,0,D,664
135539,63,43,2,M,Single,11,P,302
169527,46,29,2,F,Single,10,P,404
137332,51,31,2,F,Single,11,P,309
153029,40,19,2,M,Married,2,P,398
137269,36,19,2,M,Married,6,P,319
111756,31,10,2,M,Single,13,P,347
192091,44,25,2,M,Married,10,P,341
181712,61,43,2,F,Single,3,P,390
143015,41,21,2,F,Single,6,P,422
191908,70,50,2,F,Single,6,P,390
139225,63,43,2,F,Married,8,P,118
112013,18,0,2,F,Single,11,D,695
192330,67,49,2,F,Married,8,P,208
175518,68,47,2,F,Married,0,P,168
124536,31,10,2,F,Single,14,P,137
150310,46,29,2,M,Single,10,D,535
139738,58,39,2,M,Single,6,P,473
163512,57,36,2,M,Single,3,D,925
146306,25,7,2,M,Married,14,P,305
159560,42,23,2,F,Single,10,P,342
142870,60,41,2,F,Single,2,P,297
158104,30,10,2,M,Married,0,D,632
109611,50,32,2,M,Single,4,D,788
154961,65,45,2,F,Married,12,P,175
140583,21,4,2,F,Married,12,P,170
123629,33,15,2,M,Single,13,P,270
182372,61,43,2,F,Single,13,P,389
148528,49,31,2,M,Single,10,P,360
127220,69,51,2,M,Single,3,P,274
126737,69,51,2,F,Single,11,P,55
117322,57,37,2,M,Single,12,P,152
115456,64,45,2,M,Single,2,D,524
165944,68,48,2,M,Married,10,P,172
193742,61,44,2,F,Married,12,P,123
129207,25,7,2,F,Single,1,D,858
144219,19,0,2,F,Married,6,P,469
125427,27,8,2,M,Married,7,P,424
170331,47,26,2,M,Married,9,P,357
197817,17,0,2,M,Married,8,P,477
107427,55,34,2,F,Married,4,D,603
187630,50,33,2,F,Single,0,D,652
136014,60,40,2,M,Married,2,P,100
173154,20,1,2,M,Single,8,D,1093
114142,25,6,2,M,Single,14,D,981
179821,42,23,2,M,Single,8,P,461
106555,24,7,2,F,Married,11,P,256
199695,66,46,2,M,Single,3,P,236
164470,49,30,2,M,Married,12,P,227
177409,21,2,2,M,Single,13,D,557
119478,62,41,2,F,Married,4,P,283
145098,63,45,2,M,Married,13,P,75
163701,69,51,2,F,Single,2,P,341
132193,69,49,2,F,Single,15,P,160
139916,49,32,2,F,Single,8,P,468
183014,54,37,2,F,Single,12,P,366
167022,16,0,2,M,Married,8,P,397
151938,61,40,2,F,Single,6,P,141
163146,41,23,2,M,Married,3,P,398
123562,19,2,2,M,Married,12,P,245
132981,41,23,2,F,Single,10,P,317
149152,63,46,2,M,Married,5,P,201
171316,64,47,2,F,Married,4,P,142
148777,39,22,2,M,Married,15,P,267
149376,66,48,2,M,Married,7,P,170
162958,67,50,2,F,Married,8,P,133
105088,20,3,2,F,Single,10,P,496
122102,56,38,2,F,Single,8,P,419
105446,31,10,2,F,Married,8,P,291
103443,25,6,2,M,Married,11,P,245
183063,22,5,2,F,Married,11,P,279
141649,39,22,2,M,Single,14,P,185
113022,40,19,2,F,Married,6,P,380
150948,52,32,2,M,Married,5,D,530
185267,34,13,2,F,Married,11,P,289
179585,36,16,2,M,Single,3,D,738
152612,64,45,2,M,Married,5,P,338
128261,22,3,2,M,Married,11,P,194
113948,23,6,2,M,Married,8,D,522
152332,63,43,2,F,Single,0,D,665
169873,32,11,2,M,Married,7,P,370
125421,25,7,2,F,Single,12,P,350
123332,61,42,2,F,Single,0,P,188
148265,60,42,2,M,Single,10,P,240
170087,33,14,2,M,Single,10,P,388
169825,44,23,2,M,Single,15,P,355
111897,36,18,2,F,Single,1,P,477
174771,34,14,2,F,Married,10,P,334
166450,50,33,2,F,Married,0,P,422
187382,19,1,2,F,Married,13,P,185
141567,25,7,2,F,Single,14,P,306
171617,64,43,2,M,Married,2,P,214
137704,20,3,2,M,Married,8,P,347
170905,59,38,2,M,Single,12,P,494
121737,30,12,2,M,Single,10,P,473
149436,33,16,2,M,Single,9,D,510
174642,59,40,2,F,Single,12,P,246
161418,66,48,2,F,Single,3,P,59
132244,67,49,2,F,Single,0,P,456
103888,65,47,2,M,Married,9,P,142
102115,28,9,2,F,Married,13,P,320
118220,31,10,2,F,Married,11,P,312
129355,18,0,2,M,Single,12,D,517
115566,62,43,2,F,Married,3,P,201
198482,17,0,2,F,Married,11,P,455
154387,63,45,2,M,Single,14,P,236
199592,62,44,2,M,Married,9,P,214
189521,17,0,2,F,Married,14,P,163
109628,70,50,2,M,Single,13,P,17
112951,67,47,2,M,Married,10,P,222
177624,30,12,2,F,Married,2,D,509
139893,66,49,2,M,Married,13,P,176
152158,53,33,2,M,Single,10,P,491
104434,30,10,2,F,Single,3,P,418
163180,19,0,2,F,Single,14,P,186
138357,51,33,2,M,Single,1,D,525
145834,16,0,2,F,Single,8,D,864
119306,16,0,2,F,Single,14,P,434
136948,56,37,2,M,Single,1,D,602
138629,56,38,2,M,Married,10,P,335
113051,25,6,2,F,Married,13,P,286
144446,22,5,2,M,Married,13,D,575
149397,20,1,2,F,Single,15,P,329
106289,55,36,2,F,Single,6,P,394
116337,53,34,2,F,Single,8,P,406
192539,60,40,2,F,Single,5,P,320
107897,63,45,2,M,Married,8,P,337
170572,46,29,2,F,Married,0,P,473
147362,23,5,2,M,Single,15,D,710
138688,63,44,2,M,Married,15,P,111
159465,54,35,2,M,Single,9,P,417
108721,70,52,2,M,Single,0,P,350
143763,70,53,2,M,Married,10,P,51
148473,53,33,2,F,Single,12,P,326
167494,19,2,2,M,Married,13,P,243
172726,53,33,2,F,Married,15,P,297
112764,62,43,2,F,Married,8,P,98
163961,35,18,2,M,Married,9,P,402
139100,49,28,2,F,Single,8,P,376
180958,70,52,2,M,Married,5,P,141
195958,65,48,2,M,Single,3,P,436
104613,20,1,2,M,Single,10,D,1286
174309,19,2,2,M,Single,13,D,1041
128174,64,47,2,M,Single,11,P,48
180050,42,24,2,F,Single,2,D,690
133645,25,8,2,F,Single,14,P,208
152931,16,0,2,M,Married,15,P,395
102993,56,36,2,F,Married,13,P,228
124566,70,51,2,M,Single,7,P,169
177308,16,0,2,F,Single,15,P,413
104057,37,19,2,F,Married,3,D,599
120503,48,29,2,F,Single,9,P,426
143068,31,14,2,M,Married,0,P,474
173799,52,32,2,F,Single,13,P,324
115732,33,16,2,M,Single,1,D,635
168787,52,34,2,M,Single,15,P,368
133866,51,30,2,F,Single,3,D,702
154959,24,7,2,F,Single,14,D,623
188010,31,13,2,F,Single,0,P,378
146414,30,9,2,F,Single,9,P,455
139361,68,49,2,F,Single,1,P,43
134326,69,49,2,M,Single,9,P,229
170464,58,38,2,M,Married,12,P,323
105949,65,48,2,F,Single,1,P,111
176336,63,43,2,F,Single,11,P,18
170515,66,45,2,F,Married,8,P,154
136227,28,8,2,M,Married,6,P,361
193376,32,13,2,F,Married,0,D,603
106282,66,49,2,F,Married,10,P,232
133314,46,26,2,F,Married,13,P,218
141174,63,43,2,F,Married,13,P,235
181182,28,8,2,F,Single,7,P,473
113593,67,46,2,M,Married,7,P,339
195808,43,23,2,F,Married,2,P,391
134822,16,0,2,F,Single,14,P,359
181731,38,20,2,M,Married,3,D,513
106650,56,39,2,M,Single,6,D,504
199346,69,52,2,M,Married,14,P,117
101331,47,28,2,M,Married,1,D,518
150595,62,43,2,F,Married,12,P,18
120341,25,8,2,F,Married,15,P,218
112642,22,4,2,F,Married,3,P,387
148218,31,14,2,F,Single,13,P,430
181488,19,0,2,F,Single,11,P,283
166343,64,43,2,F,Married,3,P,205
172733,64,45,2,M,Single,11,P,358
197528,65,47,2,M,Married,3,P,354
135258,17,0,2,M,Married,15,P,488
192216,38,21,2,F,Married,8,P,317
176322,38,20,2,F,Married,14,P,182
112510,60,43,2,F,Single,5,P,318
168872,33,12,2,F,Single,12,P,237
192582,17,0,2,M,Single,8,D,1323
191643,18,0,2,M,Married,13,P,388
191513,62,43,2,F,Married,8,P,63
199026,70,52,2,F,Single,13,P,189
167021,23,6,2,F,Married,10,P,339
106957,25,7,2,F,Single,10,D,562
180989,18,0,2,M,Single,15,P,463
198426,61,42,2,M,Single,6,P,400
139290,65,45,2,M,Single,6,D,533
122176,16,0,2,M,Single,9,D,782
144488,34,14,2,M,Married,7,P,353
123078,43,23,2,F,Single,15,P,142
118790,19,0,2,F,Single,10,P,472
110090,60,39,2,F,Single,6,P,301
107300,23,4,2,M,Married,5,D,552
129838,45,24,2,F,Married,3,D,621
162333,21,4,2,M,Single,14,D,753
136691,38,20,2,F,Married,4,P,422
109599,16,0,2,F,Single,11,P,415
103121,58,37,2,M,Single,0,D,801
145064,68,50,2,M,Single,10,P,86
149385,64,47,2,F,Married,8,P,46
165710,34,16,2,F,Single,9,P,344
149131,43,24,2,F,Single,2,P,479
165671,53,33,2,F,Married,12,P,261
183339,27,8,2,F,Single,3,D,686
127143,16,0,2,F,Single,15,D,535
112888,26,6,2,M,Married,6,P,377
148492,42,22,2,M,Single,3,D,757
110883,50,29,2,M,Single,11,D,518
151022,25,8,2,F,Married,13,P,476
122547,53,34,2,F,Married,7,P,358
168702,67,50,2,M,Married,7,P,103
137669,47,28,2,F,Married,10,P,334
170555,34,16,2,M,Single,12,P,444
113393,67,48,2,M,Single,5,P,139
148015,47,30,2,F,Single,0,D,535
106836,48,27,2,F,Married,1,D,572
104883,66,47,2,F,Married,6,P,293
118965,50,31,2,F,Single,8,P,390
100639,34,14,2,M,Married,5,D,559
121255,21,4,2,F,Single,15,D,716
176075,60,40,2,F,Married,13,P,257
127229,55,34,2,F,Single,8,P,383
148796,19,0,2,M,Single,12,D,512
173362,60,40,2,M,Married,13,P,201
146355,52,35,2,M,Married,1,P,488
147429,20,3,2,F,Single,15,P,316
194417,30,11,2,M,Married,15,P,233
155424,68,49,2,F,Single,12,P,130
106599,68,51,2,M,Single,6,P,141
181462,36,17,2,M,Married,12,P,205
173292,60,43,2,F,Single,8,P,320
150352,69,49,2,F,Single,4,P,418
188208,42,22,2,F,Married,5,D,527
107019,56,36,2,F,Married,6,P,310
160191,24,7,2,F,Single,9,D,692
118528,20,2,2,F,Married,12,P,281
189563,61,42,2,F,Single,14,P,24
179975,69,49,2,M,Single,6,P,384
166472,17,0,2,M,Married,11,P,340
192456,43,23,2,M,Married,14,P,288
117425,16,0,2,M,Single,4,D,1248
125254,28,8,2,F,Married,9,P,325
158478,17,0,2,M,Married,12,D,627
127244,66,47,2,M,Married,7,P,224
140895,24,5,2,F,Single,11,D,564
182237,22,4,2,M,Single,2,D,1394
136940,21,2,2,F,Married,11,P,288
107595,56,39,2,F,Married,8,P,294
197780,33,14,2,F,Married,14,P,279
164174,35,15,2,M,Married,9,P,366
118785,28,8,2,M,Single,10,P,421
117546,17,0,2,F,Married,14,P,106
106026,62,42,2,M,Single,8,P,66
117868,19,2,2,M,Married,10,P,480
187987,58,39,2,F,Single,14,P,429
139112,37,19,2,F,Single,12,P,265
131994,65,45,2,F,Married,13,P,110
150149,51,31,2,F,Married,12,P,100
133232,55,36,2,F,Married,14,P,293
160087,26,7,2,F,Single,0,D,639
131422,64,44,2,M,Married,4,P,61
142718,39,22,2,M,Married,15,P,365
100408,22,5,2,M,Married,13,P,185
182239,49,32,2,M,Single,6,P,462
177768,62,44,2,F,Single,10,P,387
189122,25,6,2,F,Single,6,P,430
196363,16,0,2,M,Single,14,P,476
188301,22,5,2,F,Married,1,D,682
144348,53,35,2,F,Married,10,P,370
180739,68,48,2,M,Single,9,P,300
164389,61,41,2,M,Single,11,P,184
155619,59,42,2,M,Single,11,D,526
145692,19,1,2,F,Single,0,D,1162
145700,68,51,2,F,Single,8,P,178
170694,21,2,2,M,Married,14,P,116
153192,24,5,2,F,Single,14,P,362
129981,17,0,2,F,Married,8,P,433
197785,25,8,2,M,Single,15,P,470
195513,41,24,2,M,Married,10,P,365
180475,17,0,2,M,Married,7,D,585
116665,63,46,2,M,Married,11,P,66
194917,57,39,2,F,Single,5,P,422
109664,17,0,2,M,Married,6,D,554
102623,31,12,2,F,Single,7,P,424
183726,16,0,2,M,Married,13,P,205
175685,27,9,2,F,Single,13,P,332
125869,16,0,2,F,Single,4,D,1134
189584,22,5,2,F,Married,13,P,236
171919,69,48,2,F,Single,6,P,271
198244,67,50,2,F,Married,11,P,256
159347,31,14,2,M,Single,12,P,293
177116,37,16,2,M,Married,9,P,422
158680,34,13,2,F,Single,15,P,385
168240,65,48,2,M,Single,15,P,235
186942,63,42,2,M,Married,6,P,108
111933,23,6,2,M,Single,13,D,682
105915,21,2,2,M,Single,6,D,918
167605,43,23,2,M,Married,6,P,330
129739,53,36,2,F,Married,1,P,477
173236,26,9,2,F,Single,0,D,522
172782,25,6,2,M,Married,6,D,643
100171,19,0,2,F,Married,14,P,290
112711,59,38,2,M,Married,2,P,376
183420,68,51,2,M,Single,0,P,247
176335,20,1,2,F,Married,11,P,181
171213,21,3,2,M,Single,9,D,1015
194506,63,44,2,M,Single,10,P,122
122533,19,1,2,F,Married,13,P,121
143309,37,18,2,F,Married,5,P,495
187942,35,15,2,M,Married,6,P,373
137836,22,5,2,M,Single,11,D,758
131291,67,46,2,F,Married,10,P,222
184497,68,50,2,M,Single,9,P,43
198115,69,51,2,F,Married,4,P,387
171140,69,51,2,M,Married,5,P,265
129628,23,6,2,F,Married,15,P,256
134636,46,29,2,F,Single,3,P,478
192288,68,51,2,M,Married,12,P,31
188178,67,48,2,F,Single,14,P,23
151901,36,15,2,F,Single,13,P,239
175026,61,44,2,M,Married,15,P,32
149785,65,45,2,F,Married,9,P,351
121972,69,50,2,M,Married,3,P,61
110271,17,0,2,F,Married,15,P,215
150300,16,0,2,F,Married,13,P,304
104824,16,0,2,F,Married,14,P,251
184598,20,1,2,F,Married,9,P,307
123406,63,46,2,F,Married,9,P,34
128056,29,12,2,F,Single,8,P,475
107252,61,43,2,F,Married,10,P,252
131959,54,33,2,F,Married,11,P,268
125317,68,51,2,M,Single,5,P,267
132369,30,13,2,F,Married,4,P,481
177728,63,46,2,M,Single,7,P,411
160549,61,42,2,F,Married,6,P,70
181830,58,40,2,M,Single,0,D,877
171854,28,8,2,F,Married,13,P,222
104634,58,41,2,M,Married,7,P,383
101713,62,41,2,F,Single,13,P,103
152608,36,19,2,F,Single,10,P,423
154436,21,2,2,M,Married,15,P,484
179951,47,27,2,F,Single,1,D,568
198289,51,32,2,F,Married,1,P,476
148193,46,26,2,F,Single,4,D,692
179014,63,43,2,F,Married,12,P,66
102086,69,52,2,M,Married,15,P,213
176351,70,50,2,M,Single,9,P,400
132666,16,0,2,F,Married,14,P,310
145160,19,1,2,M,Single,12,D,1085
100744,60,43,2,M,Single,11,P,131
138460,23,4,2,F,Married,14,P,344
197486,25,7,2,M,Married,12,D,600
168707,21,2,2,M,Single,10,D,1035
185249,25,7,2,F,Single,11,D,760
193331,16,0,2,F,Married,8,P,253
171831,19,1,2,M,Married,6,D,619
107853,16,0,2,M,Married,11,P,454
161457,29,9,2,F,Single,10,P,454
171425,26,6,2,F,Single,0,D,521
182401,58,40,2,F,Married,6,P,313
154873,26,5,2,F,Single,0,D,744
117311,25,7,2,F,Married,13,P,271
147072,36,16,2,M,Married,14,P,247
191778,18,0,2,M,Married,9,P,469
106894,24,6,2,M,Married,12,P,359
182444,69,49,2,F,Single,0,P,182
158699,37,16,2,F,Married,10,P,331
101619,68,47,2,F,Married,1,P,395
171500,28,8,2,M,Married,9,P,377
170694,18,0,2,F,Married,15,P,184
168299,49,30,2,M,Married,7,P,355
129054,61,44,2,M,Single,9,P,183
108413,44,25,2,F,Single,9,P,418
118323,24,6,2,M,Single,11,D,906
124034,65,47,2,F,Married,0,P,151
125763,21,4,2,F,Married,14,P,388
137799,23,4,2,F,Married,12,P,220
173815,60,43,2,F,Single,1,D,674
110498,30,9,2,M,Single,13,P,359
116419,23,5,2,M,Single,11,D,727
192102,69,52,2,F,Married,7,P,78
149627,66,45,2,M,Married,6,P,240
107638,38,17,2,M,Single,2,D,784
114186,61,41,2,M,Married,8,P,85
118460,65,46,2,M,Married,2,P,189
173285,19,0,2,M,Married,13,P,369
169052,16,0,2,M,Single,14,P,438
179398,41,24,2,M,Married,7,P,354
108729,39,22,2,M,Married,2,P,448
126589,23,4,2,F,Married,8,D,500
158528,44,26,2,M,Married,0,D,682
116480,33,13,2,M,Married,7,P,380
191498,18,1,2,M,Married,12,P,260
186896,37,18,2,F,Married,3,P,488
173815,24,7,2,F,Married,4,D,660
188932,70,53,2,F,Married,12,P,155
103823,29,8,2,F,Married,12,P,315
110506,70,50,2,M,Single,7,P,459
112870,42,22,2,M,Married,6,P,349
132331,34,15,2,M,Single,8,P,447
106404,60,41,2,F,Single,10,P,337
131113,69,49,2,M,Single,8,P,283
173821,54,37,2,F,Married,4,P,434
180958,20,3,2,F,Married,12,P,124
180425,18,1,2,F,Married,14,P,134
112065,35,18,2,F,Married,11,P,291
148352,33,16,2,F,Single,12,P,182
173506,70,53,2,M,Married,8,P,214
189302,65,47,2,M,Single,7,P,327
134669,55,34,2,M,Single,5,D,899
164563,17,0,2,F,Married,14,P,198
141018,56,35,2,F,Married,10,P,304
152593,31,10,2,F,Single,8,P,367
120215,35,18,2,M,Married,8,P,314
165566,38,20,2,F,Single,14,P,404
149808,67,50,2,F,Married,15,P,84
168782,21,2,2,M,Single,15,D,1239
186875,66,48,2,F,Married,5,P,253
192468,32,12,2,M,Single,3,P,484
124718,68,51,2,M,Married,7,P,67
140847,39,22,2,F,Single,14,P,380
108141,21,3,2,M,Married,4,D,884
132046,39,18,2,F,Married,10,P,349
139857,40,20,2,M,Married,4,P,468
190609,34,15,2,M,Single,1,D,603
112294,57,40,2,F,Single,9,P,421
110675,52,31,2,M,Married,5,D,679
114872,29,9,2,F,Single,0,D,655
145428,31,12,2,F,Married,8,P,307
168964,26,6,2,F,Single,7,P,347
105080,32,12,2,F,Single,8,P,388
155539,29,11,2,M,Married,7,P,320
160279,50,33,2,M,Single,12,P,352
146826,64,45,2,F,Married,2,P,107
196535,18,0,2,F,Married,11,P,217
188652,52,31,2,M,Single,10,P,393
184791,68,48,2,F,Married,7,P,129
145682,35,18,2,F,Single,7,P,482
140955,62,42,2,M,Single,3,D,591
152969,57,37,2,F,Married,15,P,142
143164,55,38,2,F,Married,9,P,280
181558,52,32,2,F,Single,9,P,390
145803,22,5,2,F,Married,14,P,330
151462,36,17,2,F,Single,7,P,369
111320,46,25,2,F,Single,6,P,429
181824,21,3,2,F,Married,14,P,154
134497,62,43,2,F,Married,8,P,141
139359,30,10,2,F,Single,0,D,702
111806,17,0,2,F,Single,12,D,812
197144,31,12,2,F,Single,2,D,617
161819,55,37,2,F,Single,7,P,415
171371,26,7,2,F,Married,8,P,301
173747,28,8,2,F,Married,9,P,281
181025,60,43,2,F,Single,7,P,343
193285,53,36,2,M,Married,12,P,197
145953,27,6,2,M,Married,3,D,681
145073,68,48,2,M,Single,3,D,762
137172,28,7,2,F,Married,6,P,335
101374,45,25,2,F,Married,10,P,334
105127,18,0,2,F,Single,1,D,735
